,0973.HK_px_USD,NTCO3.SA_px_USD,COUR_px_USD,WRBY_px_USD,ARZZ3.SA_px_USD,SOMA3.SA_px_USD,1112.HK_px_USD,FREY.PA_px_USD,LMND_px_USD,CONCHATORO.SN_px_USD,COCO_px_USD,LFG.AX_px_USD,2897.TW_px_USD,AMAL_px_USD,VITL_px_USD,ABB.AX_px_USD,BFT.WA_px_USD,IBAB.BR_px_USD,SML.NZ_px_USD,MOVI3.SA_px_USD,Index,
9/7/23,2.932227648,2.779067923,18.38999939,12.17000008,13.57975013,1.534597823,1.219133134,34.07582121,13.27999973,1.149455221,28.54999924,2.310443468,0.304246324,16.89532661,11.46000004,2.161904379,413.3954897,11.18949946,0.770148764,2.466604868,517.1767594,
9/8/23,2.932227648,2.731981734,18.11000061,11.90999985,13.28799071,1.508040338,1.219133134,34.07582121,13.02999973,1.128690189,28.54000092,2.310443468,0.304246324,17.30957222,11.43000031,2.161904379,413.3954897,11.18949946,0.770148764,2.438533288,516.4499694,
9/10/23,3.058950916,2.731981734,18.11000061,11.90999985,13.28799071,1.508040338,1.219374594,34.13625681,13.02999973,1.128690189,28.54000092,2.249475439,0.300307917,17.30957222,11.43000031,2.25198567,420.5930726,10.88785281,0.78480201,2.438533288,522.6874392,
9/11/23,3.157165988,2.81338392,18.22999954,12.22000027,13.68098281,1.557524645,1.239608881,34.23899398,12.97999954,1.148603645,30.93000031,2.24210076,0.302304059,17.08272362,10.97999954,2.314799869,408.4780087,10.77014076,0.775030953,2.514753312,514.5869163,
9/12/23,3.013739256,2.839046481,18.38999939,12.14000034,13.95680708,1.60263532,1.213960413,32.57098123,13.01000023,1.155048826,31.46999931,2.203884437,0.300824264,17.37861633,11.11999989,2.35258581,401.4265763,10.70973504,0.768212519,2.572704582,508.0538208,
9/13/23,3.071033699,2.868322765,18.23999977,12.5,14.37478283,1.63110813,1.216644768,32.50963207,12.85999966,1.177388712,31.82999992,2.126804904,0.303354094,17.56600952,10.38000011,2.279564476,406.0277723,11.03300213,0.769563156,2.611399931,512.5906375,
9/14/23,3.120429428,2.858219717,18.15999985,12.60999966,14.56452281,1.601742077,1.276501218,32.21574016,13,1.176552392,28.78000069,2.349020502,0.301719683,17.65477943,10.68999958,2.392721514,408.4151885,10.78436623,0.755583926,2.624392669,512.5513177,
9/15/23,3.120429428,2.873372007,18.21999931,12.52000046,14.1827498,1.559641203,1.276501218,32.21574016,12.86999989,1.15881475,26.79000092,2.349020502,0.301719683,17.41806602,10.81999969,2.392721514,408.4151885,10.78436623,0.755583926,2.486384555,510.0809233,
9/17/23,3.102842655,2.873372007,18.21999931,12.52000046,14.1827498,1.559641203,1.240610761,32.31420354,12.86999989,1.15881475,26.79000092,2.414550803,0.302888052,17.41806602,10.81999969,2.382873738,399.9282887,10.46528419,0.684959798,2.486384555,502.3972098,
9/18/23,3.093192161,2.937090961,18.70999908,12.02999973,14.18341312,1.540615298,1.230486818,32.38779764,12.56000042,1.15881475,26.48999977,2.251667481,0.301753218,17.08272362,10.92000008,2.498525429,399.7877323,10.3073497,0.716423589,2.558080491,501.5304246,
9/19/23,3.022567217,2.891864676,18.14999962,12.27000046,13.99689596,1.485422829,1.22000015,32.35545101,12.64000034,1.15881475,27.09000015,2.266512861,0.300751876,17.04327202,11.22999954,2.65023943,391.9456319,10.4786426,0.737917353,2.559940312,495.1803659,
9/20/23,3.084657038,3.012769094,18.23999977,12.15999985,13.84697892,1.495810642,1.233377948,32.26377982,12.60000038,1.151228104,27.04000092,2.269198267,0.297277994,16.88546562,11.07999992,2.677376073,400.5956985,10.06550547,0.740573974,2.551074209,502.0077528,
9/21/23,2.978265489,3.036490987,17.56999969,12.14999962,12.90808272,1.379547837,1.232561851,32.293361,12.19999981,1.13630745,25.5,2.241107871,0.296130328,16.91505241,11.64000034,2.666268338,412.3554157,10.04275107,0.753268849,2.378251311,509.3476132,
9/22/23,2.978265489,2.939558861,18.11000061,12.35000038,12.6727102,1.339167077,1.232561851,32.293361,12.02999973,1.118600175,26.11000061,2.241107871,0.296130328,17.04327202,11.68999958,2.666268338,412.3554157,10.04275107,0.753268849,2.3582307,510.1775705,
9/24/23,2.92782899,2.939558861,18.11000061,12.35000038,12.6727102,1.339167077,1.228851607,32.25347355,12.02999973,1.118600175,26.11000061,2.257747658,0.297082365,17.04327202,11.68999958,2.627112265,403.5792507,9.923867002,0.762432094,2.3582307,502.2953315,
9/25/23,2.922998655,2.880507464,18.39999962,12.55000019,12.52701466,1.356190804,1.258423249,32.08215692,11.68999958,1.099495459,25.27000046,2.295396005,0.296097461,17.45751762,11.59000015,2.568739468,413.7603831,9.881747283,0.76374364,2.324036288,510.4873594,
9/26/23,2.908597962,2.884977733,18.05999947,12.53999996,12.10024901,1.293182225,1.243833539,31.80846979,11.38000011,1.085643083,25.29999924,2.241275459,0.294987028,17.09258842,11.59000015,2.601553371,399.1091151,10.10415995,0.773130705,2.235501045,496.190298,
9/27/23,2.883274234,2.8053656,18.32999992,12.43000031,11.87636819,1.258997102,1.240046993,31.61483355,11.52999973,1.080821414,25.94000053,2.201003726,0.294967865,17.13204193,11.47999954,2.608823239,394.5038808,10.17921253,0.816362746,2.198783978,492.4753289,
9/28/23,2.956052864,2.729934918,18.46999931,13.17000008,12.39968093,1.307034772,1.221160447,30.96182232,11.68999958,1.072169882,26.59000015,2.234435995,0.294967865,17.19121742,11.73999977,2.641052188,401.914708,10.43548076,0.852830621,2.244603851,500.9800601,
9/29/23,2.956052864,2.670170755,18.69000053,13.15999985,12.67032624,1.321304777,1.221160447,30.96182232,11.61999989,1.087410052,26.04000092,2.234435995,0.294967865,16.98409271,11.57999992,2.641052188,401.914708,10.43548076,0.852830621,2.360466266,500.6115222,
10/1/23,2.956052864,2.670170755,18.69000053,13.15999985,12.67032624,1.321304777,1.221160447,30.96574713,11.61999989,1.087410052,26.04000092,2.188241919,0.29541071,16.98409271,11.57999992,2.626259976,395.5144546,10.16215062,0.851336783,2.360466266,494.7168458,
