Ticker,Company,longName,country,currency,Currency Pair,Exchange Rate,previousClose,previousCloseUSD,sharesOutstanding,impliedSharesOutstanding,marketCapHomeCurrency,marketCapUSD,marketCap USD TIKR,enterpriseValue,ebitda,forwardEps,trailingEps,grossMargins,operatingMargins,ebitdaMargins,industry,sector,website,shortName
CWEB.TO,CHARLOTTES WEB HOLDINGS INC,"Charlotte's Web Holdings, Inc.",United States,CAD,CAD/USD, $0.74 ,0.225, $0.17 ,156960992,161874000,37670636," $27,736,889 "," $26,010,000 ",46759152,-24904000,-0.22,-0.44,0.56315,-0.61842996,-0.39433,Drug Manufacturers - Specialty & Generic,Healthcare,https://www.charlottesweb.com,CHARLOTTES WEB HOLDINGS INC
HMGS.TA,HOMEBIOGAS LTD,HomeBiogas Ltd,Israel,ILS,ILS/USD, $0.27 ,422.1, $114.60 ,24045400,24045400,98586144," $26,766,138 ",,77091768,-11392000,,-2.2,0.25754,-1.74705,-1.91881,Utilities - Renewable,Utilities,https://www.homebiogas.com,HOMEBIOGAS LTD
VNT.MI,VANTEA SMART,Vantea SMART S.p.A.,Italy,EUR,EUR/USD, $1.08 ,1.85, $2.00 ,12739700,13136700,24205430," $26,183,014 ",,29348638,2885220,,0.05,0.087749995,0.08564,0.09967,Information Technology Services,Technology,https://www.vantea.com,VANTEA SMART
FLOW.TO,FLOW BEVERAGE CORP,Flow Beverage Corp.,Canada,CAD,CAD/USD, $0.74 ,0.205, $0.15 ,65578300,71792800,15435452," $11,365,123 ",,52359148,-39711684,-0.32,-0.9,0.055359997,-1.5841,-0.88069,Beverages - Non-Alcoholic,Consumer Defensive,https://flowhydration.com,FLOW BEVERAGE CORP
ISUN,"iSun, Inc.","iSun, Inc.",United States,USD,, $1.00 ,0.2015, $0.20 ,47328500,47328500,9385242," $9,385,242 ",,18251160,-4199000,-0.1,-3.19,0.21165001,-0.06371,-0.04368,Solar,Technology,https://www.isunenergy.com,"iSun, Inc."
XHS.MI,XENIA HOTELLERIE SOLUTION,Xenia Hôtellerie Solution S.p.A. Società Benefit,Italy,EUR,EUR/USD, $1.08 ,2.66, $2.88 ,3219000,3315810,8562540," $9,262,100 ",,20608540,2879812,,,0.098079994,0.04408,0.0596,Lodging,Consumer Cyclical,https://www.xeniahs.com,XENIA HOTELLERIE SOLUTION
HAN.MC,"HANNUN, S.A.",Hannun S.A.,Spain,EUR,EUR/USD, $1.08 ,0.234, $0.25 ,31271400,31271400,7505136," $8,118,306 ",,1476459,-6531339,,-0.15,0.30311,-1.15663,-1.24467,"Furnishings, Fixtures & Appliances",Consumer Cyclical,https://www.hannun.com,"HANNUN, S.A."
1H2.SI,$ Olive Tree,Olive Tree Estates Limited,Singapore,SGD,SGD/USD, $0.74 ,0.078, $0.06 ,115845000,124756000,9035910," $6,701,031 ",,13570926,-218000,,-0.02,0.97498,-0.66778,-0.18181999,Real Estate - Diversified,Real Estate,https://www.olivetreeestates.com,$ Olive Tree
XSG.L,XEROS TECHNOLOGY GROUP PLC ORD ,Xeros Technology Group plc,United Kingdom,GBp,GBP/USD, $1.26 ,2.44, $3.08 ,193831008,202570000,4456540," $5,626,382 ",,875032,-5895000,-1.8,0.01,-2.173,-23.9469,,Specialty Industrial Machinery,Industrials,https://www.xerostech.com,XEROS TECHNOLOGY GROUP PLC ORD 
VVPR,VivoPower International PLC,VivoPower International PLC,United Kingdom,USD,, $1.00 ,1.48, $1.48 ,3270600,3270600,4742370," $4,742,370 ",,38970664,-5913000,-0.41,-8.2,0.10544,-0.49761,-0.39263,Solar,Technology,https://vivopower.com,VivoPower International PLC
GFI.NZ,Greenfern Industries Limited Or,Greenfern Industries Limited,New Zealand,NZD,NZD/USD, $0.60 ,0.037, $0.02 ,114235000,119427000,4455165," $2,669,089 ",,,,,-0.02,,,,Drug Manufacturers - Specialty & Generic,Healthcare,https://gfi.nz,Greenfern Industries Limited Or
AEF.XA,A ETHICAL FPO,Australian Ethical Investment Limited,Australia,AUD,AUD/USD, $0.65 ,4.85, $3.16 ,,,, $-   ,,522400960,23888000,,0.101,0.67727995,0.26561,0.25679,,,https://www.australianethical.com.au,A ETHICAL FPO
ABB.XA,AUSSIEBAND FPO,Aussie Broadband Limited,Australia,AUD,AUD/USD, $0.65 ,3.63, $2.37 ,,,, $-   ,,982569472,60549000,,,0.19221,0.04322,0.07083,,,https://www.aussiebroadband.com.au,AUSSIEBAND FPO
BFT.WA,BENEFIT,Benefit Systems S.A.,Poland,PLN,,,2740,,2933540,2967000,7568532992, $-   ,,8555462144,556281984,43.5,122.82,0.31788,0.2466,0.2157,Leisure,Consumer Cyclical,https://www.benefitsystems.pl,BENEFIT
BIO.XA,BIOME AUST FPO,Biome Australia Limited,Australia,AUD,AUD/USD, $0.65 ,0.35, $0.23 ,,,, $-   ,,73621928,-3272891,,,0.59831,-0.30477,-0.33159,,,https://www.biomeaustralia.com,BIOME AUST FPO
TIME.MI,COMPAGNIA DEI CARAIBI,Compagnia dei Caraibi S.p.A.,Italy,EUR,EUR/USD, $1.08 ,0.77, $0.83 ,,,, $-   ,,14463896,486510,,,0.27405,-0.02723,0.0095,,,https://www.compagniadeicaraibi.com,COMPAGNIA DEI CARAIBI
KPG.XA,KELLYPRTNR FPO,Kelly Partners Group Holdings Limited,Australia,AUD,AUD/USD, $0.65 ,7.02, $4.58 ,,,, $-   ,,418700992,24674000,,0.107,0.48711,0.23786,0.25581,,,https://kellypartnersgroup.com.au,KELLYPRTNR FPO
KCT.AQ,KIN AND CARTA PLC,,,GBp,GBP/USD, $1.26 ,128.6, $162.36 ,,,, $-   ,,,,,,,,,,,,KIN AND CARTA PLC
LFG.XA,LIBERTY FG STAPLED,Liberty Financial Group Limited,Australia,AUD,AUD/USD, $0.65 ,3.8, $2.48 ,,,, $-   ,,14196974592,,,0.69,1,0.25628,,,,https://www.liberty.com.au,LIBERTY FG STAPLED
MME.XA,MONEYME FPO,MoneyMe Limited,Australia,AUD,AUD/USD, $0.65 ,0.081, $0.05 ,,,, $-   ,,1084904320,,,-0.165,1.04657,0.16803,,,,https://www.moneyme.com.au,MONEYME FPO
MPR.XA,MPOWER FPO,MPower Group Limited,Australia,AUD,AUD/USD, $0.65 ,0.018, $0.01 ,,,, $-   ,,23456654,-863000,,-0.019,0.68811,-0.17473,-0.18448,,,https://www.mpower.com.au,MPOWER FPO
VHT.XA,VOLPARA FPO NZ,Volpara Health Technologies Limited,New Zealand,AUD,AUD/USD, $0.65 ,1.13, $0.74 ,,,, $-   ,,275582976,-7897000,,-0.059,0.92274004,-0.24278,-0.20802,,,https://www.volparahealth.com,VOLPARA FPO NZ
