,NTCO3.SA_MktCap_USD,0973.HK_MktCap_USD,LMND_MktCap_USD,SOMA3.SA_MktCap_USD,ARZZ3.SA_MktCap_USD,MME.AX_MktCap_USD,AEF.AX_MktCap_USD,CONCHATORO.SN_MktCap_USD,MOVI3.SA_MktCap_USD,FREY.PA_MktCap_USD,LFG.AX_MktCap_USD,ABB.AX_MktCap_USD,1112.HK_MktCap_USD,VITL_MktCap_USD,2897.TW_MktCap_USD,KMD.NZ_MktCap_USD,SML.NZ_MktCap_USD,AMAL_MktCap_USD,BFT.WA_MktCap_USD,IBAB.BR_MktCap_USD,Index
2022-02-25,5778930098.895109,4841043939.244173,1610610749.1608973,1950446979.596363,1671908516.9427817,1069338690.4838619,596436756.0525385,951554494.2074993,1033819281.1669077,988823612.9516344,819503765.612737,994953293.8807051,865052815.2491705,604431171.676256,778304598.5141007,526099102.15699106,503389013.2956352,503646482.4798836,398433357.0175714,576190459.6468939,27.062917178231707
2022-02-27,5778930098.895109,4932223266.5707245,1610610749.1608973,1950446979.596363,1671908516.9427817,1011800095.3161838,591951005.9006474,951554494.2074993,1033819281.1669077,994112843.1677427,843671722.9422327,1014942443.1454203,855130569.1971099,604431171.676256,778304598.5141007,534652952.20960325,514449202.9678216,503646482.4798836,395180185.45494694,574588861.9238894,27.146355521436128
2022-02-28,5778930098.895109,4810191888.893646,1745742998.0443375,1950446979.596363,1671908516.9427817,1016111539.5417764,608094282.3844649,1000276165.857638,1033819281.1669077,997067464.0089021,902576161.669256,1035882785.1303698,850308134.0767653,610428377.4599999,793601775.4624104,553102363.2617013,509479336.2940502,497274857.91578615,385811442.81261754,584972010.7308595,27.33602646014574
2022-03-01,5778930098.895109,4617122670.170505,1664800868.0366025,1950446979.596363,1671908516.9427817,994152707.7984524,586185480.3620855,954941806.0285815,1033819281.1669077,989708090.4643666,930973160.5093986,1025200228.091457,831695311.4953952,582584292.3730488,787264332.6641914,540335790.4650351,506032276.2680183,472946949.49016285,374533495.6074459,565891947.8957326,26.859474284321635
2022-03-02,5615224925.112238,4654726542.328584,1529668619.1531622,1992771338.5928125,1671077175.5924711,949233110.5038512,564691449.6486956,943321981.8685772,1027350621.8116425,987981254.3171049,960727211.3386289,1040677387.9788396,838954605.3833767,563307574.0869511,792859726.2031162,550062300.5332366,504300929.13014585,481056271.508165,410226579.1498111,546483768.0106437,26.62470337225205
2022-03-03,5765042690.959143,4489350616.628708,1397280364.2125213,2019581338.6580076,1674762873.7360992,920191873.5684432,561981040.6305833,968206341.4346168,1023635207.0666968,983740484.6742303,993320028.3647945,1040279319.0576589,785093161.1085895,561594092.5562559,782640660.5868298,564685357.8480898,510946448.0121378,487138313.446502,366615679.6349432,521516564.3676711,26.417602456552522
2022-03-04,5654033552.926186,4489350616.628708,1340346513.0632052,1947683839.6193032,1630273283.1974163,920191873.5684432,561981040.6305833,949442349.2948792,971646731.0864371,983740484.6742303,993320028.3647945,1040279319.0576589,785093161.1085895,556025267.3683413,782640660.5868298,564685357.8480898,510946448.0121378,477580847.78616405,366615679.6349432,521516564.3676711,26.047393618824614
2022-03-06,5654033552.926186,4033474329.048878,1340346513.0632052,1947683839.6193032,1630273283.1974163,873713882.3285977,528019717.3595758,949442349.2948792,971646731.0864371,931900356.6565578,955446871.4108146,1058944507.9001349,742798163.7251166,556025267.3683413,752425358.4237394,548963443.6543224,515679611.91683865,477580847.78616405,336921111.01825017,498517493.2816857,25.303837231066446
2022-03-07,5118066214.820335,4040844295.8913507,1345834108.4450214,1789314704.0706046,1529966120.3626773,850562222.2249908,510812475.5105614,936897480.1257114,922013199.5247526,931404228.7382169,949035131.9411321,1020439332.4493796,734006231.0312996,535463488.99999994,740436116.6159375,546200853.5226356,497489259.09414554,477001567.2778765,324944707.321087,503654851.87564147,24.304386589843357
2022-03-08,5251773304.307453,4341619428.087852,1415114951.0774786,1901087169.2001727,1563424120.8806446,874589714.480816,528388741.2195122,945017676.0525899,986321324.7040597,945646211.8330197,959168284.0356702,1041211604.2634996,696562336.2240678,518328673.69304883,757267408.3251724,539357747.0443262,496587121.5964072,481925134.64221317,355011169.5577689,521977525.2017677,25.12037964642754
2022-03-09,6162476118.648399,4496461613.379734,1485081890.3215811,2019578611.3468015,1639836964.414555,908393472.1624378,542794984.870067,946449343.8047737,1030163930.2421001,960912418.3663648,940165912.514231,1087832659.500274,704291681.2795006,518328673.69304883,778650922.355876,537814092.4877946,514598303.33094,491482513.8599762,365238927.75872934,544474858.9712973,26.67502789330848
2022-03-10,5591388498.740079,4239197660.231493,1394536501.1043162,1960003458.7179108,1643458980.1666546,933605458.4719614,519430344.4235933,933950684.8629326,1023399171.6705278,967478305.9177785,954008045.8021094,1108102564.361439,684932862.5837085,548743001.5023537,784490364.8600255,545018631.275333,509639705.7470743,499881562.574697,363031674.9197549,540373352.548237,25.744670830481976
2022-03-11,5388995579.643591,4239197660.231493,1291643989.5693161,1811522959.0634522,1616503461.2514915,933605458.4719614,519430344.4235933,929361256.2799686,982187332.2751161,967478305.9177785,954008045.8021094,1108102564.361439,684932862.5837085,482773901.2916586,784490364.8600255,545018631.275333,509639705.7470743,511176610.4321731,363031674.9197549,540373352.548237,25.163474060949277
2022-03-13,5388995579.643591,4053754891.601311,1291643989.5693161,1811522959.0634522,1616503461.2514915,959164460.6464974,504501642.58799934,929361256.2799686,982187332.2751161,978154227.8650845,918117573.2425805,1097780227.2599554,642116513.5547389,482773901.2916586,787932606.9611707,531881332.07001424,495801027.6611135,511176610.4321731,359077278.0861491,549933064.4579905,24.89237993580137
2022-03-14,5220200432.044801,3844031371.387911,1186693580.7031622,1770298945.7489972,1603620896.7028973,912176762.497461,503361690.3703292,924931194.4407022,960213085.1006277,978796574.1572022,893051172.7296929,1101228768.1083558,586402515.7583028,488342685.6269511,782187109.4827151,522568071.26502866,487876989.564032,532029152.7641787,361850892.4499788,537595118.395046,24.197457009298375
2022-03-15,5445165964.686637,4063842783.7654366,1288900257.295705,1784579291.9227338,1638238535.3103073,895971590.785399,534367540.7211408,987754330.5411475,959439515.0986502,975150047.4514811,913491284.3898543,1089885245.521958,603495323.4278091,516615192.1623537,783710334.0405829,536004482.46306384,485788841.72817975,525657585.8284644,376159674.0098583,561204291.2734408,24.965422112424204
2022-03-16,5940883335.880547,4295148468.929289,1491255451.4804487,1871322976.1934588,1661169057.1180072,933154666.2292931,572777172.8049022,1006757453.45549,1006580156.1818764,979890098.9359242,899058867.1462617,1081871924.230225,663964551.7818135,549599721.8413903,796313248.4375888,533098277.2552635,501608790.3876492,509149301.53831625,401457749.6682938,565150226.3626462,26.26021149585868
2022-03-17,6340821617.489791,4323637160.887533,1708015665.3140812,1868424647.6087627,1706515307.7036393,929054225.0599021,553565491.4469295,998969865.9799894,1019315037.6774108,986720192.9693743,906638461.7163414,1105947364.3322332,642259196.9849472,565877816.8093048,836290646.4416492,558966735.5780209,531328323.18887,506253071.88202804,405703050.8443627,576448346.60146,27.070752226516632
2022-03-18,6380427957.626242,4323637160.887533,1852751173.4070513,1927309967.5459366,1701551845.767753,929054225.0599021,553565491.4469295,1005075630.2945123,1052073436.4959288,986720192.9693743,906638461.7163414,1105947364.3322332,642259196.9849472,585582874.8386097,836290646.4416492,558966735.5780209,531328323.18887,500460785.45460135,405703050.8443627,576448346.60146,27.361792867482258
2022-03-20,6380427957.626242,4329978476.478099,1852751173.4070513,1927309967.5459366,1701551845.767753,945360674.5925325,562575376.126578,1005075630.2945123,1052073436.4959288,981621257.9469081,933970188.6162972,1140024925.774065,643963090.0805128,585582874.8386097,841574770.1103973,559443687.417982,534928326.00998443,500460785.45460135,396599044.6487877,571029253.6163859,27.446302742849163
2022-03-21,6260829571.615553,4392708251.81656,1784842131.4941025,1956658654.7879746,1716984936.010418,915209016.1186855,562386859.757646,1042299755.5761957,1049479515.9572057,967743703.9928864,895755604.0167459,1146392294.7277098,667779926.5467557,575730325.3976462,873158232.0661145,557827204.0631943,522401243.8045055,505673849.0021237,387835160.8234305,576434673.1697382,27.35813091074519
2022-03-22,6437030788.086654,4583213045.232232,1889792409.5256622,2077192740.1239173,1796053420.7519796,942372077.9959859,587111202.8202183,1025550895.0173403,1074787457.6521225,962922762.8056161,892602651.0032699,1145801064.4182477,670471998.9350357,576158705.9934756,958592202.3176827,564602066.9398298,536685012.5453258,514941703.22250944,389648526.07078856,563633870.2784772,28.189164601736373
2022-03-23,6562166611.002699,4585149165.686892,1890478375.3027136,2265250260.32952,1863226332.6447148,946976621.5049506,578750378.8588877,1060994297.7603195,1104057646.2737703,931995941.1307813,896964015.0957863,1175028981.250038,666523293.0770605,577872187.5241706,925038625.5104684,578424742.411481,537695672.9630877,506832352.39031565,390877122.1910415,547374278.7018243,28.591676901610523
2022-03-24,6914368998.20457,4521337000.419547,1862354432.6165812,2328542740.218255,1909084753.0585246,955219975.735324,572081049.7423778,1076054863.6978166,1137428505.6342025,961247801.1009132,885729033.3782256,1164389042.1598952,631962420.1473175,545315997.5883414,891773201.9760778,577602913.2114717,530577458.81791675,505094626.1222194,394680800.8266594,530414919.8042933,28.895260534460533
2022-03-25,7056707798.117463,4521337000.419547,1774552906.5075214,2455126829.8092895,1996909954.0783694,955219975.735324,572081049.7423778,1098321007.7065697,1174942416.8644013,961247801.1009132,885729033.3782256,1164389042.1598952,631962420.1473175,546172758.78,891773201.9760778,577602913.2114717,530577458.81791675,514072782.46007806,394680800.8266594,530414919.8042933,29.233822071643715
2022-03-27,7056707798.117463,4409174209.65943,1774552906.5075214,2455126829.8092895,1996909954.0783694,981565400.1755724,562097244.0083724,1098321007.7065697,1174942416.8644013,964779325.2622731,951263865.0764394,1143684057.0925586,665398687.8580791,546172758.78,882576897.6051003,568455426.4160297,526794968.4018253,514072782.46007806,394027600.02038676,546147858.2814443,29.212771994181207
