,NTCO3.SA_px_USD,0973.HK_px_USD,COUR_px_USD,WRBY_px_USD,BFT.WA_px_USD,COCO_px_USD,ARZZ3.SA_px_USD,SOMA3.SA_px_USD,LMND_px_USD,1112.HK_px_USD,FREY.PA_px_USD,2897.TW_px_USD,CONCHATORO.SN_px_USD,LFG.AX_px_USD,AMAL_px_USD,MOVI3.SA_px_USD,ABB.AX_px_USD,VITL_px_USD,AEF.AX_px_USD,IBAB.BR_px_USD,Index,
3/5/24,3.104797026,3.770213778,15,12.11999989,629.3012742,25.54999924,11.67668089,1.389504795,16.34000015,1.4356803,29.09359261,0.318491367,1.004969137,2.725322051,23.0306778,1.700076353,2.868417581,18.72999954,3.083061032,10.69298158,700.7730775,
3/6/24,3.169269513,3.744863975,15,12.22999954,641.1611251,25.29000092,11.96336489,1.427676736,16.09000015,1.435761221,29.2093309,0.319260577,1.029152135,2.757720343,23.46859932,1.706740956,2.961266653,19,3.16481265,11.00799484,712.1528777,
3/7/24,3.229795955,3.720875567,15.03999996,12.43000031,646.4831571,24.81999969,11.89795984,1.418353494,16.73999977,1.426306681,29.34558172,0.316695189,1.030474912,2.714609702,23.58803368,1.805361345,2.992691728,19.89999962,3.178079851,12.26382534,719.2256948,
3/8/24,3.258127009,3.720875567,15.17000008,12.14999962,646.4831571,25.06999969,11.8208007,1.409580809,17.77000046,1.426306681,29.34558172,0.316695189,1.061158699,2.714609702,23.88661575,1.829242267,2.992691728,20.51000023,3.178079851,12.26382534,720.9803923,
3/10/24,3.258127009,3.74017724,15.17000008,12.14999962,610.1983984,25.06999969,11.8208007,1.409580809,17.77000046,1.44144677,29.32631461,0.319575635,1.061158699,2.80193686,23.88661575,1.829242267,2.914544301,20.51000023,3.113263037,12.84667674,690.1719647,
3/11/24,3.212633756,3.752465201,14.93000031,11.94999981,625.3900711,24.88999939,11.74957616,1.3978983,17.38999939,1.456346803,29.29489934,0.320296252,1.052731455,2.745308232,24.10557556,1.805618581,2.930533667,20.98999977,3.155450582,12.26450701,702.3662523,
3/12/24,3.4318882,3.898294145,14.61999989,11.46000004,644.5964979,25.09000015,12.19291332,1.458723165,16.87000084,1.423209601,29.28561589,0.321517862,1.09834848,2.742008759,23.77713394,1.847045392,2.860939144,21,3.164872663,12.15134532,718.3193186,
3/13/24,3.48160803,3.898657903,14.73999977,11.5,646.980888,25.54999924,12.37249789,1.482687935,17.22999954,1.428371889,29.57445643,0.326208681,1.109605715,2.803368561,23.55817413,1.870963134,2.352708798,20.97999954,3.201009427,12.20220203,721.2097421,
3/14/24,3.422721041,3.898932012,14.46000004,11.72999954,628.6508645,25.25,12.44443834,1.48171911,16.32999992,1.418412638,29.38439689,0.321803059,1.110299046,2.697471288,22.83162308,1.862160517,2.335615407,21.70999908,3.144856981,12.55910885,704.314875,
3/15/24,3.354707246,3.898932012,14.18000031,11.75,628.6508645,25.07999992,11.98461955,1.41101484,16.23999977,1.418412638,29.38439689,0.321803059,1.106653775,2.697471288,23.11030006,1.823311257,2.335615407,21.57999992,3.144856981,12.55910885,703.4421987,
3/17/24,3.354707246,3.886501327,14.18000031,11.75,632.7190138,25.07999992,11.98461955,1.41101484,16.23999977,1.421056658,29.38231837,0.317849906,1.106653775,2.623071223,23.11030006,1.823311257,2.341091023,21.57999992,3.082108562,12.40586734,706.6898159,
3/18/24,3.375940293,3.830267214,14.35999966,11.61999989,669.0056715,25.13999939,11.80377293,1.395461169,16.04000092,1.378765729,29.57582694,0.317599753,1.112859515,2.622660177,22.66242599,1.818870257,2.340724164,22.37999916,3.101295672,12.65671419,738.360168,
3/19/24,3.5297274,3.879709869,14.22000027,11.67000008,662.0099427,24.95999908,11.84536913,1.391234665,15.68999958,1.398276423,29.54739343,0.312801215,1.104819034,2.597387354,22.80176353,1.794692665,2.414656605,23.19000053,3.060740397,12.73145034,732.8527681,
3/20/24,3.673047344,3.937083265,14.52999973,12.19999981,677.2010747,25.04999924,12.70608107,1.511766054,16.75,1.423370605,30.18587321,0.314376328,1.1341382,2.546615867,23.6377964,1.866054806,2.507031202,22.81999969,3.186568596,13.25553532,750.3402463,
3/21/24,3.687002265,4.027695199,14.39999962,12.72999954,691.1599632,24.78000069,12.5905103,1.489156857,16.36000061,1.413708999,29.97898254,0.31264212,1.17910719,2.497367874,23.81694603,1.804673168,2.392215642,23.40999985,3.200574057,13.49054204,762.6540321,
3/22/24,3.555422498,4.027695199,13.94999981,12.75,691.1599632,24.53000069,12.12096002,1.435166421,16.12999916,1.413708999,29.97898254,0.31264212,1.183004095,2.497367874,23.17996979,1.711006331,2.392215642,22.95999908,3.200574057,13.49054204,760.2904659,
3/24/24,3.555422498,4.072106376,13.94999981,12.75,677.763311,24.53000069,12.12096002,1.435166421,16.12999916,1.365800236,29.82848662,0.310121666,1.183004095,2.475973254,23.17996979,1.711006331,2.332627414,22.95999908,3.192702457,13.42281887,748.4722879,
3/25/24,3.656577098,3.988981814,13.93000031,12.93999958,666.79751,24.25,12.34695235,1.455657587,16.48999977,1.40100712,29.91286294,0.311188664,1.202437276,2.523840746,23.29940224,1.719043237,2.373456593,23.04000092,3.190762556,13.0055924,739.4777168,
3/26/24,3.734225438,4.039265286,13.89999962,12.75,675.9790954,23.82999992,12.48895711,1.484771422,16.23999977,1.380591778,29.89650003,0.313476695,1.198974861,2.523915008,23.22973251,1.770072677,2.314678568,22.94000053,3.236626722,14.21166926,747.7766978,
3/27/24,3.639321701,4.045478027,14.06999969,13.25,709.1754269,23.76000023,12.71486789,1.502465847,16.29000092,1.320179979,29.84412972,0.310366824,1.200584639,2.537018361,23.81694603,1.646702622,2.334839407,23.20999908,3.215295565,14.16514874,777.5909751,
3/28/24,3.558359615,4.045478027,14.02000046,13.60999966,709.1754269,24.43000031,12.81400681,1.517264644,16.40999985,1.320179979,29.84412972,0.311864878,1.195747465,2.537018361,23.88661575,1.694710808,2.334839407,23.25,3.215295565,14.16514874,778.700676,
3/31/24,3.558359615,4.045478027,14.02000046,13.60999966,709.1754269,24.43000031,12.81400681,1.517264644,16.40999985,1.320179979,29.84412972,0.31299892,1.195747465,2.537018361,23.88661575,1.694710808,2.334839407,23.25,3.215295565,14.16514874,778.7016535,
4/1/24,3.433802034,4.089224319,13.89999962,14,721.1760795,23.95000076,12.33407083,1.469801867,16.55999947,1.350028438,30.06356296,0.311584472,1.198789975,2.497726034,23.07048988,1.683447445,2.342023622,23.63999939,3.263263062,14.17282233,788.3300669,
4/2/24,3.396926747,3.998161004,13.73999977,13.18999958,722.637446,24.27000046,12.36107586,1.468642713,16.14999962,1.362049586,30.15080788,0.310486299,1.193027737,2.475358749,22.70223618,1.618665306,2.305992102,24.10000038,3.152825493,14.68775107,788.989291,
4/3/24,3.535125563,3.998161004,13.55000019,13.31999969,737.1224456,24.96999931,11.65651706,1.374972958,16.68000031,1.362049586,30.34720453,0.310486299,1.198887275,2.535633465,22.95105553,1.561477242,2.312287562,24.01000023,3.231947456,14.87013051,802.4601356,
4/4/24,3.510152012,3.908420396,13.64999962,13.21000004,714.7711886,25.69000053,11.27321036,1.338236639,16.18000031,1.207399251,30.55910235,0.310486299,1.227354973,2.523031672,22.56289864,1.58730279,2.292467478,24.26000023,3.168611603,14.75939572,782.7118393,
4/5/24,3.467653607,3.908420396,13.84000015,13.02999973,714.7711886,26.22999954,11.16812545,1.322489148,16.72999954,1.207399251,30.55910235,0.310486299,1.207838343,2.523031672,22.39370155,1.565274479,2.292467478,25.42000008,3.168611603,14.75939572,784.3375592,
4/7/24,3.467653607,3.768092432,13.84000015,13.02999973,733.4484089,26.22999954,11.16812545,1.322489148,16.72999954,1.271533271,30.3246908,0.311272429,1.207838343,2.58854605,22.39370155,1.565274479,2.332319345,25.42000008,3.265246989,15.11902445,800.6549074,
4/8/24,3.5236155,3.766682734,13.56000042,13.43000031,704.9963718,25.40999985,11.26278027,1.331236796,17.02000046,1.25849782,30.4148807,0.314761376,1.203628858,2.641939871,22.76195335,1.593902384,2.331511917,25.05999947,3.309029839,14.5774179,775.6250687,
4/9/24,3.563513769,3.767320576,13.55000019,13.78999996,711.1707754,25.51000023,11.33935994,1.343554466,16.90999985,1.26624801,30.40404808,0.314259881,1.228420679,2.651199568,22.89133835,1.670958498,2.346311593,24.70999908,3.340511431,14.68081229,781.3837757,
4/10/24,3.453241044,3.764988163,13.19999981,13.39000034,696.0781722,25.23999977,10.64584897,1.272765947,16.51000023,1.265464054,30.07567254,0.313737645,1.214913698,2.576791334,22.00554466,1.602303822,2.310002279,24.79999924,3.260031578,14.75856192,765.2547277,
4/11/24,3.39166069,3.763787263,13.10999966,13.53999996,694.5096246,25.20999908,10.59525721,1.264753588,16.86000061,1.25502024,30.03405647,0.311729387,1.210818609,2.491840982,21.85625076,1.592725321,2.367575907,25.64999962,3.145867496,14.18036552,764.0507283,
4/12/24,3.305653385,3.763787263,13.10000038,13.22000027,694.5096246,25.02000046,10.28816229,1.228874679,16.78000069,1.25502024,30.03405647,0.311729387,1.179267084,2.491840982,21.87615776,1.523882797,2.367575907,25.06999969,3.145867496,14.18036552,762.5943622,0.263406529
