,NTCO3.SA_px_USD,0973.HK_px_USD,LMND_px_USD,SOMA3.SA_px_USD,ARZZ3.SA_px_USD,MME.AX_px_USD,AEF.AX_px_USD,CONCHATORO.SN_px_USD,MOVI3.SA_px_USD,FREY.PA_px_USD,LFG.AX_px_USD,ABB.AX_px_USD,1112.HK_px_USD,VITL_px_USD,2897.TW_px_USD,KMD.NZ_px_USD,SML.NZ_px_USD,AMAL_px_USD,BFT.WA_px_USD,IBAB.BR_px_USD,Index
2022-06-28,2.563934893702103,3.1920972773739202,19.229999542236328,1.7571494654469892,12.427963404966135,0.3935450280055225,3.3250312894697998,1.2589479010279323,2.453867657253986,31.087928113950625,2.404527633836829,2.306035747814487,1.1793915198851304,8.529999732971191,0.27596998162953185,0.6302488133026957,2.0081010215809925,19.13358497619629,107.24708936833855,15.512191973817606,236.91760534280667
2022-06-29,2.524829685094698,3.025351546935798,17.829999923706055,1.7671450108548907,12.61143104793112,0.39212448428574365,3.1189323398315434,1.2356225333889728,2.457979539063131,31.04213486342611,2.4018225529002932,2.27707374883363,1.170321114787312,8.170000076293945,0.2720507766199314,0.6233696195279446,1.9419952667343556,19.075838088989258,109.28743112624686,16.037800749189454,237.263254094641
2022-06-30,2.452284042162673,3.025351546935798,18.260000228881836,1.7300645412896072,12.611191432021505,0.4793728236628379,3.174100445693937,1.2725932311780788,2.347366635549155,31.134502810088165,2.4680365316537176,2.2623638332098257,1.170321114787312,8.75,0.2645423158391176,0.6192095419819942,1.9342540203674263,19.03734016418457,118.49416325020812,15.837415496390042,247.3244740060857
2022-07-01,2.381771581862765,3.025351546935798,18.729999542236328,1.6933342404698144,12.49057411480212,0.4793728236628379,3.174100445693937,1.2460076625242908,2.365762222167424,31.134502810088165,2.4680365316537176,2.2623638332098257,1.170321114787312,8.829999923706055,0.2645423158391176,0.6192095419819942,1.9342540203674263,19.431947708129883,118.49416325020812,15.837415496390042,248.033030726717
2022-07-03,2.381771581862765,3.0990882931044497,18.729999542236328,1.6933342404698144,12.49057411480212,0.45322729958846425,3.2822416988343828,1.2460076625242908,2.365762222167424,31.18587651668071,2.480128610157808,2.1741279172471444,1.192821788749559,8.829999923706055,0.2601851649594101,0.6160843081244043,1.9555318862609496,19.431947708129883,115.93977714473722,16.327226884844386,246.13571450918755
2022-07-04,2.3325247253230206,3.1179265533831346,18.729999542236328,1.6793489418064111,12.228930311295569,0.47426754711972796,3.4572903832800153,1.2336311403044582,2.3131461445778827,31.72749912166328,2.4952631613695906,2.199501708176796,1.2065252377308153,8.829999923706055,0.2665131360940965,0.6224281871850954,2.001211931828424,19.431947708129883,113.7302122063429,16.387798328707895,244.46596594026138
2022-07-05,2.3505679384975484,3.1547921867278794,20.200000762939453,1.6927230408981728,12.163536820004133,0.44879184982204295,3.6121401649633045,1.1968912668795437,2.251368072023934,31.23462610023825,2.4508395271058605,2.1283613416434064,1.1543957423397335,8.720000267028809,0.26066763800617393,0.6179844525532276,2.0548008131001607,19.229829788208008,107.02075927076342,16.943934474008802,238.8870115177519
2022-07-06,2.473392162352153,3.234822690314108,20.770000457763672,1.7684701946849166,12.472641639510655,0.4372955344507627,3.7531725913662535,1.23138683758748,2.2617015446256996,30.97013614044042,2.372936769332657,2.1559687904928575,1.1067836911806908,8.729999542236328,0.2618096766402371,0.610023140108563,2.0223503287720996,19.08546257019043,104.27313113664773,16.800455870056076,236.79194130875382
2022-07-07,2.6283324474788743,3.1852875166805257,22.06999969482422,1.8611745062327933,12.999672819989208,0.4445350068992807,3.726075201939785,1.2692191853135408,2.3517175628093794,30.908913230685663,2.387725703662643,2.256870085197725,1.1429442067136375,9.470000267028809,0.2628653555034889,0.6180416576221335,2.067333297108244,19.56669044494629,105.89070050414688,16.907641111740322,242.01573980652344
2022-07-08,2.6102671310200756,3.1852875166805257,21.40999984741211,1.8741488879532555,13.224926568409131,0.4445350068992807,3.726075201939785,1.2272409211085327,2.3422080029122245,30.908913230685663,2.387725703662643,2.256870085197725,1.1429442067136375,9.270000457763672,0.2628653555034889,0.6180416576221335,2.067333297108244,19.826553344726562,105.89070050414688,16.907641111740322,241.58427803920588
2022-07-10,2.6102671310200756,3.1847863184052243,21.40999984741211,1.8741488879532555,13.224926568409131,0.44570489682832415,3.6291417585869326,1.2272409211085327,2.3422080029122245,30.976445310013208,2.4118754967394147,2.159954644634283,1.0986378914079198,9.270000457763672,0.2599767872918463,0.626020310130567,2.04418408083341,19.826553344726562,108.78683818691538,16.24106923708759,243.64998008017966
2022-07-11,2.4437690064875093,3.1844617397227704,19.450000762939453,1.758382712601941,12.418932966263068,0.4311424910436109,3.381905679602767,1.2032503693204102,2.143701048564469,30.65869413827202,2.3695271154457336,2.02098047193936,1.0736364651698866,8.869999885559082,0.24955881855355735,0.6131848267813835,2.0388420379273944,19.730304718017578,106.45235366382114,15.477647908041519,235.97027682607464
2022-07-12,2.6166167513508025,3.1966824863490624,19.719999313354492,1.7559828715852324,12.43992160908289,0.4235279849355991,3.3879911516775887,1.212113089909589,2.1127342184557727,30.478024446766117,2.4054954517755625,2.070581224067183,1.118847143551422,8.890000343322754,0.2571265930437794,0.6174550007484062,2.0589833910046753,19.643686294555664,103.06477566748795,15.445768696664176,232.9163137296887
2022-07-13,2.6864220609509992,3.295589988180677,20.209999084472656,1.707485738878354,12.680605782324283,0.4173931808513283,3.438618003352189,1.197921509415193,2.1072870439436464,30.509518379880586,2.408888126506088,2.073501540790795,1.0928832724779756,8.890000343322754,0.2557738816546274,0.622823540626353,2.0949891688189894,19.354951858520508,99.37170916169843,16.075446755116307,230.49180842178274
2022-07-14,2.68124239380717,3.221435091625793,19.030000686645508,1.7156574753922658,12.726547781166198,0.4052726125842936,3.5617732530503425,1.1976683431043909,2.1495135265535326,30.662328002596205,2.3406401811596376,2.033117519234073,1.04080985539072,8.609999656677246,0.2507498511407476,0.6194571197070925,2.0779189580396307,19.056589126586914,99.79724541780658,16.004816267214853,229.18278311948322
2022-07-15,2.77818060030003,3.221435091625793,19.670000076293945,1.7610812926089952,13.225780819704612,0.4052726125842936,3.5617732530503425,1.1324195197248943,2.161371673889239,30.662328002596205,2.3406401811596376,2.033117519234073,1.04080985539072,8.949999809265137,0.2507498511407476,0.6194571197070925,2.0779189580396307,19.61481285095215,99.79724541780658,16.004816267214853,231.309210772289
2022-07-17,2.77818060030003,3.2090760331875927,19.670000076293945,1.7610812926089952,13.225780819704612,0.4087753322095586,3.8046631469851726,1.1324195197248943,2.161371673889239,30.878186641106883,2.4259566635701093,2.166509220102481,1.0690872749243838,8.949999809265137,0.2548444995620531,0.619824118855849,2.116618285411701,19.61481285095215,104.74307152273057,16.336638167636526,237.32689754902188
2022-07-18,2.7378874244775364,3.2274976093964467,18.739999771118164,1.7257726731131018,13.271813923196696,0.4222107395214252,3.6041881205015818,1.1147149751935168,2.1299197891088424,30.851530785062234,2.3952916672127347,2.179152219693758,1.0713193166956092,8.829999923706055,0.2574690110639574,0.6105673445378051,2.0918314570635803,19.913175582885742,112.4602442056881,16.575962068488614,244.21054860772549
2022-07-19,2.8261081603110205,3.1284805665679585,19.709999084472656,1.707782362063583,13.107973390828182,0.4413494713425473,3.817559739376538,1.1147154281830787,2.1657180355036894,31.29130687714111,2.4555697372395127,2.323980783063684,1.1470126440634156,9.069999694824219,0.2566424196285775,0.6185457193111542,2.1129328971825534,20.64463996887207,117.657423252703,16.777289719594656,252.37502995227322
2022-07-20,2.8211787415239304,3.184388718636562,21.170000076293945,1.805513624179683,13.039704114524966,0.4752049735474838,4.0805636070284805,1.243966237485953,2.183290241700045,31.142829413329444,2.410475453835514,2.403572997019117,1.1471470739341947,10.529999732971191,0.2560658632373829,0.6233812599462194,2.085194128237929,20.500268936157227,118.8041958864196,17.059362606460958,256.9663036864698
2022-07-21,2.7459212212536523,3.234163266792891,20.760000228881836,1.8000447860541013,13.0336928116125,0.47074689334921693,4.276842227747298,1.2226277022945993,2.2470604159062777,31.259964559042164,2.435002244304399,2.374502733279107,1.145027275491033,11.489999771118164,0.2602565418547696,0.6309468464897907,2.0977304523018065,20.15378761291504,127.45179933665287,17.123526684109557,266.21364361145106
2022-07-22,2.765878142032848,3.234163266792891,19.139999389648438,1.7556123908768313,12.962059607650561,0.47074689334921693,4.276842227747298,1.2011041903459343,2.2198601830007907,31.259964559042164,2.435002244304399,2.374502733279107,1.145027275491033,10.729999542236328,0.2602565418547696,0.6309468464897907,2.0977304523018065,20.08641815185547,127.45179933665287,17.123526684109557,263.6214406590621
2022-07-24,2.765878142032848,3.233843955165678,19.139999389648438,1.7556123908768313,12.962059607650561,0.5109209415697998,4.2251640933208865,1.2011041903459343,2.2198601830007907,31.19619506672207,2.4285262326325756,2.3336659712440704,1.1743291338543616,10.729999542236328,0.26320944863619833,0.6185765632221728,2.03824036958005,20.08641815185547,122.78482082112178,17.008083811838883,258.67650800655576
2022-07-25,2.753938366574608,3.209309071015886,19.389999389648438,1.8088625643732734,13.67396543413454,0.5108885389318709,4.111623827343707,1.204703601527184,2.279649506312044,31.268113913397382,2.4388550003447262,2.335490345316039,1.1087636466660988,10.59000015258789,0.26725534901544146,0.6324041471896442,1.9961953750972812,20.58689308166504,120.52045504847233,16.946420648593648,257.63378700820704
2022-07-26,2.654881176932387,3.2154274650552837,18.770000457763672,1.7961904238916477,13.423958227439936,0.5418679657996343,4.068800176994469,1.2111143206015498,2.2144298876375204,30.98005624175321,2.4495746906588445,2.403670834752476,1.054439420860455,10.859999656677246,0.26344720020774653,0.613628316152869,1.9720112241326044,20.827503204345703,116.47988661042024,17.010175775290193,252.81106327736768
2022-07-27,2.8079452014638773,3.295673959209824,19.6200008392334,1.8875010305328548,14.147192407983043,0.556086783593622,4.375799170662648,1.2336815859574706,2.3270784964778284,31.220237456632113,2.460346394443105,2.55310285602489,1.0815974179785661,10.789999961853027,0.26462975295690655,0.6097978701376945,1.9529782202603232,21.048870086669922,116.25304671614485,17.504631964954598,255.99019817317057
2022-07-28,3.010967423301601,3.2893345194176664,19.84000015258789,1.9894919177579884,14.773469788248224,0.5669096929548424,4.446446203061991,1.2487417107443872,2.3781107644396724,31.172030824978112,2.461782515894034,2.540595363267274,1.0668349617616952,10.8100004196167,0.26265588643556703,0.624707502795838,2.0143776502812045,21.799583435058594,122.95733488594864,17.17591971803071,264.4292953365826
2022-07-29,2.891402305145907,3.2893345194176664,18.850000381469727,1.942308490608878,14.70937514733003,0.5669096929548424,4.446446203061991,1.2485261627136635,2.3463979872272174,31.172030824978112,2.461782515894034,2.540595363267274,1.0668349617616952,11.800000190734863,0.26265588643556703,0.624707502795838,2.0143776502812045,22.213438034057617,122.95733488594864,17.17591971803071,264.58037842411545
2022-07-31,2.891402305145907,3.25855429171834,18.850000381469727,1.942308490608878,14.70937514733003,0.5925244495391261,4.259101426464961,1.2485261627136635,2.3463979872272174,31.21705090522036,2.4277140425524206,2.1261170495882196,1.0476272552401067,11.800000190734863,0.2630509539199095,0.6173479877893613,2.009078553516023,22.213438034057617,119.60045499860041,17.180584680976292,260.6006552944134
2022-08-01,2.8398920422797604,3.3077221257031453,20.510000228881836,1.945173759927585,14.65111378360859,0.5583763236428475,4.36648156977857,1.2561492044640348,2.397787167496994,31.38313568042116,2.4643763100568474,2.1141040170527825,1.0147554917046706,11.619999885559082,0.2604145654482041,0.6340569819757951,2.076586782265297,22.559921264648438,122.83268089376557,16.988512655200452,265.78124073388165
2022-08-02,2.8658597834571338,3.147371079544084,20.969999313354492,1.908776469892619,14.502142353300062,0.5167648864460839,4.370692696648424,1.2301162147869469,2.349796757655886,31.05996783238599,2.4175691264991848,2.1773027806985477,1.0521203702565851,11.880000114440918,0.26015242611309647,0.62865317224698,2.0590018772247274,22.357807159423828,126.85141080475373,16.913771203804373,269.5192764229337
