,NTCO3.SA_px_USD,0973.HK_px_USD,LMND_px_USD,SOMA3.SA_px_USD,ARZZ3.SA_px_USD,MME.AX_px_USD,FREY.PA_px_USD,CONCHATORO.SN_px_USD,MOVI3.SA_px_USD,AEF.AX_px_USD,ABB.AX_px_USD,LFG.AX_px_USD,1112.HK_px_USD,VITL_px_USD,2897.TW_px_USD,KMD.NZ_px_USD,AMAL_px_USD,SML.NZ_px_USD,IBAB.BR_px_USD,BFT.WA_px_USD,Index,
2/23/22,4.115795022,3.276971055,22.95000076,2.579370811,15.59284451,1.163659713,33.37119732,1.330445305,3.095105676,5.01413107,3.469296145,2.699487291,1.372988008,13.60000038,0.294803627,0.773961947,16.49684143,2.200622268,20.31554919,134.0769881,287.7900596,
2/24/22,4.128420198,3.288372767,23.51000023,2.522208012,15.14185175,1.253009012,33.0288978,1.266939045,2.959493001,5.036575114,3.472624907,2.697475258,1.365870583,14.23999977,0.290944528,0.764450667,16.19009781,2.207018286,20.32524589,134.2347289,287.9242235,
2/25/22,4.112951691,3.288372767,23.47999954,2.465007062,14.90899082,1.253009012,33.0288978,1.27909413,2.858179681,5.036575114,3.472624907,2.697475258,1.365870583,14.10999966,0.290944528,0.764450667,16.66937828,2.207018286,20.32524589,134.2347289,287.8488145,
2/27/22,4.112951691,3.350308333,23.47999954,2.465007062,14.90899082,1.185587549,33.20557104,1.27909413,2.858179681,4.998695118,3.542391818,2.777026575,1.350203785,14.10999966,0.290944528,0.776879797,16.66937828,2.255509692,20.26874918,133.1387147,287.024183,
2/28/22,4.112951691,3.267415915,25.45000076,2.465007062,14.90899082,1.19063953,33.30426192,1.344586387,2.858179681,5.135016063,3.615478618,2.970915831,1.342589427,14.25,0.296662928,0.803687877,16.458498,2.233720208,20.63501705,129.9823258,286.6259456,
3/1/22,4.112951691,3.136269912,24.27000046,2.465007062,14.90899082,1.164909035,33.05844255,1.283647102,2.858179681,4.950008819,3.57819394,3.064387617,1.313200689,13.60000038,0.294293875,0.78513727,15.65330505,2.218607196,19.96196361,126.1827137,278.8602105,
3/2/22,3.996440768,3.16181307,22.29999924,2.518497474,14.90157449,1.112274018,33.00076239,1.26802771,2.840296094,4.768503741,3.632212929,3.162325925,1.324662834,13.14999962,0.29638557,0.799270581,15.92170334,2.211016417,19.27733578,138.2079403,287.8510423,
3/3/22,4.103068072,3.049478272,20.37000084,2.552380396,14.93444415,1.078244639,32.85911129,1.301477796,2.830024163,4.745615851,3.630823573,3.269607954,1.23961872,13.10999966,0.292565496,0.820518599,16.12300491,2.240152495,18.39661215,123.5151512,270.4619003,
3/4/22,4.024061533,3.049478272,19.54000092,2.461515144,14.53771199,1.078244639,32.85911129,1.276254952,2.686292464,4.745615851,3.630823573,3.269607954,1.23961872,12.97999954,0.292565496,0.820518599,15.80667973,2.240152495,18.39661215,123.5151512,268.4500166,
3/6/22,4.024061533,2.739815483,19.54000092,2.461515144,14.53771199,1.023783557,31.12753366,1.276254952,2.686292464,4.458831454,3.695969545,3.144944833,1.172837263,12.97999954,0.281270427,0.797673719,15.80667973,2.260904198,17.58531483,113.5108625,255.1122577,
