,BFT.WA
2022-12-22,
2022-12-22,
2022-12-22,
2022-12-22,
2022-12-22,697.5538940429688
2022-12-23,
2022-12-23,
2022-12-25,
2022-12-25,
2022-12-26,
2022-12-26,
2022-12-26,
2022-12-26,687.7842407226562
2022-12-27,
2022-12-27,
2022-12-27,
2022-12-27,
2022-12-27,
2022-12-27,695.5999755859375
2022-12-28,
2022-12-28,
2022-12-28,
2022-12-28,
2022-12-28,
2022-12-28,709.2775268554688
2022-12-29,
2022-12-29,
2022-12-29,
2022-12-29,
2022-12-29,
2022-12-29,726.8629150390625
2022-12-30,
2022-12-30,
2023-01-01,730.770751953125
2023-01-02,
2023-01-02,
2023-01-02,736.632568359375
2023-01-03,
2023-01-03,
2023-01-03,
2023-01-03,
2023-01-03,
2023-01-03,767.8955078125
2023-01-04,
2023-01-04,
2023-01-04,
2023-01-04,
2023-01-04,
